title,artist
It's Your World,It's Your World
Foolin' Around,Foolin' Around
Lonesome Number One,Lonesome Number One
Go On Home,Go On Home
The Blizzard,The Blizzard
(I Dreamed of a) Hillbilly Heaven,(I Dreamed of a) Hillbilly Heaven
Under The Influence Of Love,Under The Influence Of Love
Losing Your Love,Losing Your Love
I'll Just Have A Cup Of Coffee (Then I'll Go),I'll Just Have A Cup Of Coffee (Then I'll Go)
San Antonio Rose,San Antonio Rose
Soft Rain,Soft Rain
My Ears Should Burn (When Fools Are Talked About),My Ears Should Burn (When Fools Are Talked About)
Sweet Lips,Sweet Lips
The Comancheros,The Comancheros
My Last Date (With You),My Last Date (With You)
Sweet Dreams,Sweet Dreams
Hello Fool,Hello Fool
Loose Talk,Loose Talk
Right Or Wrong,Right Or Wrong
Let Forgiveness In,Let Forgiveness In
"Big River, Big Man","Big River, Big Man"
Heart Over Mind,Heart Over Mind
Walking The Streets,Walking The Streets
Beggar To A King,Beggar To A King
Sleepy-Eyed John,Sleepy-Eyed John
Tennessee Flat-Top Box,Tennessee Flat-Top Box
Backtrack,Backtrack
When Two Worlds Collide,When Two Worlds Collide
(How Can I Write on Paper) What I Feel in My Heart,(How Can I Write on Paper) What I Feel in My Heart
Odds And Ends (Bits And Pieces),Odds And Ends (Bits And Pieces)
Loving You (Was Worth This Broken Heart),Loving You (Was Worth This Broken Heart)
You're The Reason,You're The Reason
Oklahoma Hills,Oklahoma Hills
Happy Birthday To Me,Happy Birthday To Me
How Do You Talk To A Baby,How Do You Talk To A Baby
Walk Out Backwards,Walk Out Backwards
Mental Cruelty,Mental Cruelty
Wreck On The Highway,Wreck On The Highway
Po' Folks,Po' Folks
I Went Out Of My Way (To Make You Happy),I Went Out Of My Way (To Make You Happy)
Louisiana Man,Louisiana Man
Flat Top,Flat Top
Three Steps to the Phone (Million of Miles),Three Steps to the Phone (Million of Miles)
Be Quiet Mind,Be Quiet Mind
I Think I Know,I Think I Know
Your Old Love Letters,Your Old Love Letters
Last Date,Last Date
Go Home,Go Home
Too Many Times,Too Many Times
I'd Rather Loan You Out,I'd Rather Loan You Out
Optimistic,Optimistic
Signed Sealed And Delivered,Signed Sealed And Delivered
What Would You Do,What Would You Do
Black Land Farmer,Black Land Farmer
The Hand You're Holding Now,The Hand You're Holding Now
The Restless One,The Restless One
Crazy Bullfrog,Crazy Bullfrog
Kisses Never Lie,Kisses Never Lie
"From Here, To There, To You","From Here, To There, To You"
Please Mr. Kennedy,Please Mr. Kennedy
Oh Lonesome Me,Oh Lonesome Me
Polka on a Banjo,Polka on a Banjo
Sunny Tennessee,Sunny Tennessee
I Love You Best Of All,I Love You Best Of All
Mom And Dad's Waltz,Mom And Dad's Waltz
You're The Reason,You're The Reason
Ebony Eyes,Ebony Eyes
Hangover Tavern,Hangover Tavern
The Twenty-Fourth Hour,The Twenty-Fourth Hour
To You And Yours (From Me And Mine),To You And Yours (From Me And Mine)
Through That Door,Through That Door
You Don't Want My Love,You Don't Want My Love
Kissing My Pillow,Kissing My Pillow
One Step Ahead Of My Past,One Step Ahead Of My Past
One Grain Of Sand,One Grain Of Sand
Don't Let Your Sweet Love Die,Don't Let Your Sweet Love Die
Jimmy Martinez,Jimmy Martinez
Everybody's Dying For Love,Everybody's Dying For Love
Diggy Liggy Lo,Diggy Liggy Lo
Anywhere There's People,Anywhere There's People
"Conscience, I'm Guilty","Conscience, I'm Guilty"
Forever Gone,Forever Gone
Blue Blue Day,Blue Blue Day
What'd I Say,What'd I Say
Baby Sittin' Boogie,Baby Sittin' Boogie
Ragged But Right,Ragged But Right
From a Jack to a King,From a Jack to a King
Wolverton Mountain,Wolverton Mountain
Devil Woman,Devil Woman
She's Got You,She's Got You
Ruby Ann,Ruby Ann
Crazy,Crazy
Don't Let Me Cross Over,Don't Let Me Cross Over
Old Rivers,Old Rivers
Losing Your Love,Losing Your Love
Adios Amigo,Adios Amigo
Mama Sang A Song,Mama Sang A Song
A Little Bitty Tear,A Little Bitty Tear
That's My Pa,That's My Pa
P.T. 109,P.T. 109
I've Been Everywhere,I've Been Everywhere
Lonesome Number One,Lonesome Number One
It Keeps Right On A-Hurtin',It Keeps Right On A-Hurtin'
She Thinks I Still Care,She Thinks I Still Care
Call Me Mr. In-Between,Call Me Mr. In-Between
I'm Gonna Change Everything,I'm Gonna Change Everything
If A Woman Answers (Hang Up The Phone),If A Woman Answers (Hang Up The Phone)
Misery Loves Company,Misery Loves Company
The Ballad of Jed Clampett,The Ballad of Jed Clampett
Charlie's Shoes,Charlie's Shoes
Don't Go Near The Indians,Don't Go Near The Indians
Mary Ann Regrets,Mary Ann Regrets
"Shake Me, I Rattle (Squeeze Me, I Cry)","Shake Me, I Rattle (Squeeze Me, I Cry)"
A Little Heartache,A Little Heartache
A Girl I Used to Know,A Girl I Used to Know
A Wound Time Can't Erase,A Wound Time Can't Erase
Everybody But Me,Everybody But Me
Trouble's Back in Town,Trouble's Back in Town
Funny Way Of Laughin',Funny Way Of Laughin'
The Comeback,The Comeback
I Can Mend Your Broken Heart,I Can Mend Your Broken Heart
In The Middle Of A Heartache,In The Middle Of A Heartache
Dear Ivan,Dear Ivan
Does He Mean That Much to You?,Does He Mean That Much to You?
Little Black Book,Little Black Book
Wall To Wall Love,Wall To Wall Love
Alla My Love,Alla My Love
Cow Town,Cow Town
(How Can I Write On Paper) What I Feel In My Heart,(How Can I Write On Paper) What I Feel In My Heart
Pride,Pride
Unloved Unwanted,Unloved Unwanted
Willie The Weeper,Willie The Weeper
"From Here, to There, to You","From Here, to There, to You"
The Comancheros,The Comancheros
"Aching, Breaking Heart","Aching, Breaking Heart"
After Loving You,After Loving You
Tears Broke Out On Me,Tears Broke Out On Me
If You Don't Know I Ain't Gonna Tell You,If You Don't Know I Ain't Gonna Tell You
Success,Success
Send Me The Pillow You Dream On,Send Me The Pillow You Dream On
When I Get Thru With You (You'll Love Me Too),When I Get Thru With You (You'll Love Me Too)
We Missed You,We Missed You
The Burning Of Atlanta,The Burning Of Atlanta
Take Time,Take Time
Three Days,Three Days
Hello Out There,Hello Out There
Touch Me,Touch Me
The Cajun Queen,The Cajun Queen
Footsteps Of A Fool,Footsteps Of A Fool
My Name Is Mud,My Name Is Mud
Love Can't Wait,Love Can't Wait
We're Gonna Go Fishin',We're Gonna Go Fishin'
To A Sleeping Beauty,To A Sleeping Beauty
Silver Threads And Golden Needles,Silver Threads And Golden Needles
Will Your Lawyer Talk To God,Will Your Lawyer Talk To God
Crazy Wild Desire,Crazy Wild Desire
Kickin' Our Hearts Around,Kickin' Our Hearts Around
I Take the Chance,I Take the Chance
Honky-Tonk Man,Honky-Tonk Man
Then A Tear Fell,Then A Tear Fell
In The Jailhouse Now,In The Jailhouse Now
I've Got the World by the Tail,I've Got the World by the Tail
Where I Ought To Be,Where I Ought To Be
Shame On Me,Shame On Me
Leona,Leona
I Guess I'll Never Learn,I Guess I'll Never Learn
Tennessee Flat-Top Box,Tennessee Flat-Top Box
The Violet And A Rose,The Violet And A Rose
Willingly,Willingly
Happy Journey,Happy Journey
Day Into Night,Day Into Night
So Wrong,So Wrong
The Waltz You Saved For Me,The Waltz You Saved For Me
Cold Dark Waters,Cold Dark Waters
Sometimes I'm Tempted,Sometimes I'm Tempted
Don't Go Near The Eskimos,Don't Go Near The Eskimos
Nobody's Fool But Yours,Nobody's Fool But Yours
Save The Last Dance For Me,Save The Last Dance For Me
Waltz of the Angels,Waltz of the Angels
Air Mail To Heaven,Air Mail To Heaven
One Look At Heaven,One Look At Heaven
He Stands Real Tall,He Stands Real Tall
Anywhere There's People,Anywhere There's People
(I'm the Girl From) Wolverton Mountain,(I'm the Girl From) Wolverton Mountain
Go On Home,Go On Home
I've Just Destroyed The World (I'm Living In),I've Just Destroyed The World (I'm Living In)
Still,Still
500 Miles Away from Home,500 Miles Away from Home
 Abilene,Abilene
Ring Of Fire,Ring Of Fire
The Ballad Of Jed Clampett,The Ballad Of Jed Clampett
The End Of The World,The End Of The World
Welcome to My World,Welcome to My World
Ruby Ann,Ruby Ann
Love's Gonna Live Here,Love's Gonna Live Here
From A Jack To A King,From A Jack To A King
Lonesome 7-7203,Lonesome 7-7203
Act Naturally,Act Naturally
The Matador,The Matador
Six Days On The Road,Six Days On The Road
Talk Back Trembling Lips,Talk Back Trembling Lips
8 X 10,8 X 10
Guilty,Guilty
Ninety Miles An Hour (Down A Dead End Street),Ninety Miles An Hour (Down A Dead End Street)
Begging to You,Begging to You
Make The World Go Away,Make The World Go Away
Mountain Of Love,Mountain Of Love
Detroit City,Detroit City
Is This Me?,Is This Me?
Sweet Dreams (Of You),Sweet Dreams (Of You)
Cowboy Boots,Cowboy Boots
Second Hand Rose,Second Hand Rose
We Must Have Been Out Of Our Minds,We Must Have Been Out Of Our Minds
The Yellow Bandana,The Yellow Bandana
Sing A Little Song Of Heartache,Sing A Little Song Of Heartache
Thanks A Lot,Thanks A Lot
Roll Muddy River,Roll Muddy River
Does He Mean That Much To You?,Does He Mean That Much To You?
I'm Saving My Love,I'm Saving My Love
You Comb Her Hair,You Comb Her Hair
T For Texas,T For Texas
Hello Trouble,Hello Trouble
Leavin' On Your Mind,Leavin' On Your Mind
I Take The Chance,I Take The Chance
Tips Of My Fingers,Tips Of My Fingers
Last Day in the Mines,Last Day in the Mines
Take a Letter Miss Gray,Take a Letter Miss Gray
Sands Of Gold,Sands Of Gold
Not What I Had in Mind,Not What I Had in Mind
Walk Me To The Door,Walk Me To The Door
Pearl Pearl Pearl,Pearl Pearl Pearl
I've Enjoyed As Much Of This As I Can Stand,I've Enjoyed As Much Of This As I Can Stand
The Minute You're Gone,The Minute You're Gone
"Mr. Heartache, Move On","Mr. Heartache, Move On"
Old Showboat,Old Showboat
I Can't Stay Mad At You,I Can't Stay Mad At You
The Man Who Robbed The Bank At Santa Fe,The Man Who Robbed The Bank At Santa Fe
Those Wonderful Years,Those Wonderful Years
Call Me Mr. Brown,Call Me Mr. Brown
Down By The River,Down By The River
You're For Me,You're For Me
Happy To Be Unhappy,Happy To Be Unhappy
Tell Her So,Tell Her So
You Took Her Off My Hands (Now Please Take Her Off My Mind),You Took Her Off My Hands (Now Please Take Her Off My Mind)
Little Ole You,Little Ole You
Can't Hang Up The Phone,Can't Hang Up The Phone
I've Got The World By The Tail,I've Got The World By The Tail
Yesterday's Memories,Yesterday's Memories
Jealous Hearted Me,Jealous Hearted Me
Faded Love,Faded Love
Not So Long Ago,Not So Long Ago
There's More Pretty Girls Than One,There's More Pretty Girls Than One
Cigarettes And Coffee Blues,Cigarettes And Coffee Blues
Building A Bridge,Building A Bridge
Goodbye Kisses,Goodbye Kisses
Head Over Heels In Love With You,Head Over Heels In Love With You
Sheepskin Valley,Sheepskin Valley
Your Best Friend And Me,Your Best Friend And Me
Mary Ann Regrets,Mary Ann Regrets
Bayou Talk,Bayou Talk
Walk Right In,Walk Right In
A Million Years Or So,A Million Years Or So
Loving Arms,Loving Arms
Don't Call Me From A Honky Tonk,Don't Call Me From A Honky Tonk
Hey Lucille!,Hey Lucille!
The Only Girl I Can't Forget,The Only Girl I Can't Forget
The Other Woman,The Other Woman
We've Got Something In Common,We've Got Something In Common
Cold And Lonely (Is The Forecast For Tonight),Cold And Lonely (Is The Forecast For Tonight)
Please Talk To My Heart,Please Talk To My Heart
Nightmare,Nightmare
Shake Me I Rattle (Squeeze Me I Cry),Shake Me I Rattle (Squeeze Me I Cry)
Fool Me Once,Fool Me Once
Wild Wild Wind,Wild Wild Wind
Sawmill,Sawmill
We're The Talk Of The Town,We're The Talk Of The Town
Robert E. Lee,Robert E. Lee
Busted,Busted
My Father's Voice,My Father's Voice
Shoes Of A Fool,Shoes Of A Fool
Going Through The Motions (Of Living),Going Through The Motions (Of Living)
The Way It Feels To Die,The Way It Feels To Die
In The Back Room Tonight,In The Back Room Tonight
Let's Invite Them Over,Let's Invite Them Over
A Stranger Was Here,A Stranger Was Here
"Knock Again, True Love","Knock Again, True Love"
See the Funny Little Clown,See the Funny Little Clown
I Won't Forget You,I Won't Forget You
Dang Me,Dang Me
Understand Your Man,Understand Your Man
I Guess I'm Crazy,I Guess I'm Crazy
Begging To You,Begging To You
"It Ain't Me, Babe","It Ain't Me, Babe"
I Don't Care (Just As Long As You Love Me),I Don't Care (Just As Long As You Love Me)
Once A Day,Once A Day
My Heart Skips A Beat,My Heart Skips A Beat
Four Strong Winds,Four Strong Winds
Do-Wacka-Do,Do-Wacka-Do
"Saginaw, Michigan","Saginaw, Michigan"
Welcome To My World,Welcome To My World
Cross The Brazos At Waco,Cross The Brazos At Waco
Do What You Do Do Well,Do What You Do Do Well
Chug-A-Lug,Chug-A-Lug
You're the Only World I Know,You're the Only World I Know
Together Again,Together Again
B.J. The D.J.,B.J. The D.J.
The Race Is On,The Race Is On
Burning Memories,Burning Memories
Miller's Cave,Miller's Cave
Memory #1,Memory #1
The Cowboy In The Continental Suit,The Cowboy In The Continental Suit
Wine Women And Song,Wine Women And Song
The Ballad Of Ira Hayes,The Ballad Of Ira Hayes
I Love To Dance With Annie,I Love To Dance With Annie
Long Gone Lonesome Blues,Long Gone Lonesome Blues
I Don't Love You Anymore,I Don't Love You Anymore
Five Little Fingers,Five Little Fingers
Before I'm Over You,Before I'm Over You
Don't Be Angry,Don't Be Angry
The Lumberjack,The Lumberjack
Password,Password
500 Miles Away From Home,500 Miles Away From Home
Molly,Molly
Keeping Up With The Joneses,Keeping Up With The Joneses
Gonna Get Along Without You Now,Gonna Get Along Without You Now
Your Heart Turned Left (And I Was On The Right),Your Heart Turned Left (And I Was On The Right)
Second Fiddle (To An Old Guitar),Second Fiddle (To An Old Guitar)
Sorrow On The Rocks,Sorrow On The Rocks
Baltimore,Baltimore
Last Day In The Mines,Last Day In The Mines
Mad,Mad
Go Cat Go,Go Cat Go
Circumstances,Circumstances
Love Is No Excuse,Love Is No Excuse
Please Talk To My Heart,Please Talk To My Heart
This White Circle On My Finger,This White Circle On My Finger
One Of These Days,One Of These Days
Looking For More In '64,Looking For More In '64
Three A.M.,Three A.M.
I Thank My Lucky Stars,I Thank My Lucky Stars
Bad News,Bad News
Peel Me A Nanner,Peel Me A Nanner
Me,Me
Ringo,Ringo
Finally,Finally
"Fort Worth, Dallas Or Houston","Fort Worth, Dallas Or Houston"
A Week In The Country,A Week In The Country
Give Me 40 Acres (To Turn This Rig Around),Give Me 40 Acres (To Turn This Rig Around)
D.J. for a Day,D.J. for a Day
He Says The Same Things To Me,He Says The Same Things To Me
Pushed in a Corner,Pushed in a Corner
Where Does A Little Tear Come From,Where Does A Little Tear Come From
Then I'll Stop Loving You,Then I'll Stop Loving You
You'll Drive Me Back (Into Her Arms Again),You'll Drive Me Back (Into Her Arms Again)
Here Comes My Baby,Here Comes My Baby
Dern Ya,Dern Ya
I'll Go Down Swinging,I'll Go Down Swinging
"One If For Him, Two If For Me","One If For Him, Two If For Me"
Mr. And Mrs. Used To Be,Mr. And Mrs. Used To Be
Too Late To Try Again,Too Late To Try Again
Invisible Tears,Invisible Tears
Let's Go All The Way,Let's Go All The Way
My Friend On The Right,My Friend On The Right
Old Records,Old Records
Jealous Hearted Me,Jealous Hearted Me
Breakfast With The Blues,Breakfast With The Blues
Easy Come - Easy Go,Easy Come - Easy Go
You Are My Flower,You Are My Flower
Girl From Spanish Town,Girl From Spanish Town
Trouble In My Arms,Trouble In My Arms
Timber I'm Falling,Timber I'm Falling
I'm Hanging Up the Phone,I'm Hanging Up the Phone
"Chit Akins, Make Me A Star","Chit Akins, Make Me A Star"
Pick Of The Week,Pick Of The Week
If The Back Door Could Talk,If The Back Door Could Talk
Lonely Girl,Lonely Girl
Petticoat Junction,Petticoat Junction
Endless Sleep,Endless Sleep
Take My Ring Off Your Finger,Take My Ring Off Your Finger
Followed Closely By My Teardrops,Followed Closely By My Teardrops
My Tears Are Overdue,My Tears Are Overdue
Keep Those Cards And Letters Coming In,Keep Those Cards And Letters Coming In
Triangle,Triangle
Widow Maker,Widow Maker
Chickashay,Chickashay
Love Looks Good On You,Love Looks Good On You
King Of The Road,King Of The Road
Flowers on the Wall,Flowers on the Wall
"Engine, Engine #9","Engine, Engine #9"
You're The Only World I Know,You're The Only World I Know
England Swings,England Swings
Make The World Go Away,Make The World Go Away
I've Got A Tiger By The Tail,I've Got A Tiger By The Tail
Before You Go,Before You Go
Is It Really Over?,Is It Really Over?
This Is It,This Is It
May The Bird Of Paradise Fly Up Your Nose,May The Bird Of Paradise Fly Up Your Nose
What's He Doing In My World,What's He Doing In My World
Behind The Tear,Behind The Tear
The First Thing Ev'ry Morning (And The Last Thing Ev'ry Night),The First Thing Ev'ry Morning (And The Last Thing Ev'ry Night)
Buckaroo,Buckaroo
Girl On The Billboard,Girl On The Billboard
Hello Vietnam,Hello Vietnam
10 Little Bottles,10 Little Bottles
"Yes, Mr. Peters","Yes, Mr. Peters"
Only You (Can Break My Heart),Only You (Can Break My Heart)
Ribbon Of Darkness,Ribbon Of Darkness
The Bridge Washed Out,The Bridge Washed Out
Orange Blossom Special,Orange Blossom Special
Ode To The Little Brown Shack Out Back,Ode To The Little Brown Shack Out Back
I Won't Forget You,I Won't Forget You
I'll Keep Holding On (Just To Your Love),I'll Keep Holding On (Just To Your Love)
The Other Woman,The Other Woman
Queen Of The House,Queen Of The House
Four Strong Winds,Four Strong Winds
Truck Drivin' Son-Of-A-Gun,Truck Drivin' Son-Of-A-Gun
Cross the Brazos at Waco,Cross the Brazos at Waco
Livin' In A House Full Of Love,Livin' In A House Full Of Love
Happy Birthday,Happy Birthday
The Race Is On,The Race Is On
Kansas City Star,Kansas City Star
Yakety Axe,Yakety Axe
Then And Only Then,Then And Only Then
The Belles Of Southern Bell,The Belles Of Southern Bell
You Don't Hear,You Don't Hear
"It Ain't Me, Babe","It Ain't Me, Babe"
If I Talk To Him,If I Talk To Him
What Kinda Deal Is This,What Kinda Deal Is This
Sittin' In An All Nite Café,Sittin' In An All Nite Café
"Green, Green Grass Of Home","Green, Green Grass Of Home"
Tiger Woman,Tiger Woman
It's Another World,It's Another World
A Tombstone Every Mile,A Tombstone Every Mile
(From Now On All My Friends Are Gonna Be) Strangers,(From Now On All My Friends Are Gonna Be) Strangers
One Dyin' And A Buryin',One Dyin' And A Buryin'
Love Bug,Love Bug
It's Alright,It's Alright
Baby,Baby
The Wishing Well (Down In The Well),The Wishing Well (Down In The Well)
See The Big Man Cry,See The Big Man Cry
Blue Kentucky Girl,Blue Kentucky Girl
The DJ Cried,The DJ Cried
Wild As A Wildcat,Wild As A Wildcat
I'll Repossess My Heart,I'll Repossess My Heart
Matamoros,Matamoros
I Can't Remember,I Can't Remember
I Thank My Lucky Stars,I Thank My Lucky Stars
Three A.M.,Three A.M.
More Than Yesterday,More Than Yesterday
Artificial Rose,Artificial Rose
I Wouldn't Buy A Used Car From Him,I Wouldn't Buy A Used Car From Him
The Sons Of Katie Elder,The Sons Of Katie Elder
Take Me,Take Me
I Washed My Hands In Muddy Water,I Washed My Hands In Muddy Water
Things Have Gone To Pieces,Things Have Gone To Pieces
A Dear John Letter,A Dear John Letter
Hicktown,Hicktown
"Meanwhile, Down At Joe's","Meanwhile, Down At Joe's"
Walk Tall,Walk Tall
(My Friends Are Gonna Be) Strangers,(My Friends Are Gonna Be) Strangers
The Home You're Tearin' Down,The Home You're Tearin' Down
I've Got Five Dollars and It's Saturday Night,I've Got Five Dollars and It's Saturday Night
Watch Where You're Going,Watch Where You're Going
Gonna Have Love,Gonna Have Love
Bright Lights And Country Music,Bright Lights And Country Music
I'm Letting You Go,I'm Letting You Go
Truck Driving Man,Truck Driving Man
Pushed In A Corner,Pushed In A Corner
Certain,Certain
Crystal Chandelier,Crystal Chandelier
She's Gone Gone Gone,She's Gone Gone Gone
Six Times A Day (The Trains Came Down),Six Times A Day (The Trains Came Down)
Who Do I Think I Am,Who Do I Think I Am
Back In Circulation,Back In Circulation
Wrong Number,Wrong Number
Wine,Wine
Do-Wacka-Do,Do-Wacka-Do
Mister Garfield,Mister Garfield
Pass The Booze,Pass The Booze
You Finally Said Something Good (When You Said Goodbye),You Finally Said Something Good (When You Said Goodbye)
Two Six Packs Away,Two Six Packs Away
Country Guitar,Country Guitar
Do What You Do Do Well,Do What You Do Do Well
Least Of All,Least Of All
A Tiger In My Tank,A Tiger In My Tank
Because I Cared,Because I Cared
There Goes My Everything,There Goes My Everything
Almost Persuaded,Almost Persuaded
I Want To Go With You,I Want To Go With You
Distant Drums,Distant Drums
Waitin' in Your Welfare Line,Waitin' in Your Welfare Line
Gallant Men,Gallant Men
Somebody Like Me,Somebody Like Me
Think of Me,Think of Me
Blue Side Of Lonesome,Blue Side Of Lonesome
Giddyup Go,Giddyup Go
The Ballad Of The Green Berets,The Ballad Of The Green Berets
Flowers On The Wall,Flowers On The Wall
Open Up Your Heart,Open Up Your Heart
The Last Word In Lonesome Is Me,The Last Word In Lonesome Is Me
Snow Flake,Snow Flake
Take Good Care Of Her,Take Good Care Of Her
The One On The Right Is On The Left,The One On The Right Is On The Left
I Get The Fever,I Get The Fever
The Tip of My Finger,The Tip of My Finger
Tippy Toeing,Tippy Toeing
History Repeats Itself,History Repeats Itself
A Million And One,A Million And One
You Ain't Woman Enough (To Take My Man),You Ain't Woman Enough (To Take My Man)
Room In Your Heart,Room In Your Heart
Ain't Had No Lovin',Ain't Had No Lovin'
Don't Come Home A' Drinkin' (With Lovin' on Your Mind),Don't Come Home A' Drinkin' (With Lovin' on Your Mind)
Husbands And Wives,Husbands And Wives
True Love's A Blessing,True Love's A Blessing
The Hurtin's All Over,The Hurtin's All Over
Touch My Heart,Touch My Heart
England Swings,England Swings
A Loser's Cathedral,A Loser's Cathedral
The Shoe Goes On The Other Foot Tonight,The Shoe Goes On The Other Foot Tonight
Talkin' To The Wall,Talkin' To The Wall
The Bottle Let Me Down,The Bottle Let Me Down
Sittin' On A Rock (Crying In A Creek),Sittin' On A Rock (Crying In A Creek)
I Love You Drops,I Love You Drops
Skid Row Joe,Skid Row Joe
What Kinda Deal Is This,What Kinda Deal Is This
Misty Blue,Misty Blue
Almost Persuaded No. 2,Almost Persuaded No. 2
Sweet Thang,Sweet Thang
What We're Fighting For,What We're Fighting For
The Streets Of Baltimore,The Streets Of Baltimore
It Takes A Lot Of Money,It Takes A Lot Of Money
Nobody But A Fool (Would Love You),Nobody But A Fool (Would Love You)
Dear Uncle Sam,Dear Uncle Sam
Don't Touch Me,Don't Touch Me
Swinging Doors,Swinging Doors
Would You Hold It Against Me,Would You Hold It Against Me
The Game Of Triangles,The Game Of Triangles
Four-O-Thirty-Three,Four-O-Thirty-Three
Standing In The Shadows,Standing In The Shadows
Evil On Your Mind,Evil On Your Mind
Put It Off Until Tomorrow,Put It Off Until Tomorrow
"If You Can't Bite, Don't Growl","If You Can't Bite, Don't Growl"
(Yes) I'm Hurting,(Yes) I'm Hurting
How Long Has It Been,How Long Has It Been
I'm A People,I'm A People
Walking On New Grass,Walking On New Grass
Day For Decision,Day For Decision
Baby,Baby
Unmitigated Gall,Unmitigated Gall
Take Me,Take Me
I'm Living In Two Worlds,I'm Living In Two Worlds
A Way To Survive,A Way To Survive
The Lovin' Machine,The Lovin' Machine
The Company You Keep,The Company You Keep
Someone Before Me,Someone Before Me
I'll Take The Dog,I'll Take The Dog
Women Do Funny Things To Me,Women Do Funny Things To Me
Early Morning Rain,Early Morning Rain
(That's What You Get) For Lovin' Me,(That's What You Get) For Lovin' Me
Happy To Be With You,Happy To Be With You
I Never Had the One I Wanted,I Never Had the One I Wanted
Viet Nam Blues,Viet Nam Blues
Stand Beside Me,Stand Beside Me
If Teardrops Were Silver,If Teardrops Were Silver
Where Could I Go? (But to Her),Where Could I Go? (But to Her)
The World Is Round,The World Is Round
I'm A Nut,I'm A Nut
Back Pocket Money,Back Pocket Money
Bad Seed,Bad Seed
Golden Guitar,Golden Guitar
Giddyup Go - Answer,Giddyup Go - Answer
I've Been A Long Time Leavin' (But I'll Be A Long Time Gone),I've Been A Long Time Leavin' (But I'll Be A Long Time Gone)
Don't You Ever Get Tired Of Hurting Me,Don't You Ever Get Tired Of Hurting Me
At Ease Heart,At Ease Heart
Blues Plus Booze (Means I Lose),Blues Plus Booze (Means I Lose)
A Born Loser,A Born Loser
 It's Only Love,It's Only Love
Lonelyville,Lonelyville
It's All Over (But The Crying),It's All Over (But The Crying)
Catch A Little Raindrop,Catch A Little Raindrop
Many Happy Hangovers To You,Many Happy Hangovers To You
I Can't Keep Away from You,I Can't Keep Away from You
My Dreams,My Dreams
Everybody Loves A Nut,Everybody Loves A Nut
Where'd Ya Stay Last Night,Where'd Ya Stay Last Night
Get Your Lie The Way You Want It,Get Your Lie The Way You Want It
By the Time I Get to Phoenix,By the Time I Get to Phoenix
Skip a Rope,Skip a Rope
All The Time,All The Time
There Goes My Everything,There Goes My Everything
I'll Never Find Another You,I'll Never Find Another You
You Mean The World To Me,You Mean The World To Me
Turn The World Around,Turn The World Around
Where Does the Good Times Go,Where Does the Good Times Go
Sam's Place,Sam's Place
Here Comes Heaven,Here Comes Heaven
For Loving You,For Loving You
Lonely Again,Lonely Again
Foggy Mountain Breakdown,Foggy Mountain Breakdown
I Won't Come In While He's There,I Won't Come In While He's There
It's The Little Things,It's The Little Things
Walk Through This World With Me,Walk Through This World With Me
Don't Come Home A'Drinkin' (With Lovin' On Your Mind),Don't Come Home A'Drinkin' (With Lovin' On Your Mind)
I Don't Wanna Play House,I Don't Wanna Play House
Your Tender Loving Care,Your Tender Loving Care
It's Such A Pretty World Today,It's Such A Pretty World Today
Need You,Need You
Tonight Carmen,Tonight Carmen
Misty Blue,Misty Blue
I Heard a Heart Break Last Night,I Heard a Heart Break Last Night
With One Exception,With One Exception
Branded Man,Branded Man
The Fugitive,The Fugitive
What Locks The Door,What Locks The Door
I Threw Away the Rose,I Threw Away the Rose
The Cold Hard Facts Of Life,The Cold Hard Facts Of Life
Jackson,Jackson
A Loser's Cathedral,A Loser's Cathedral
It Takes People Like You (To Make People Like Me),It Takes People Like You (To Make People Like Me)
Walkin' In The Sunshine,Walkin' In The Sunshine
Your Good Girl's Gonna Go Bad,Your Good Girl's Gonna Go Bad
Pop A Top,Pop A Top
Bear With Me A Little Longer,Bear With Me A Little Longer
Hurt Her Once for Me,Hurt Her Once for Me
What Does It Take (To Keep A Man Like You Satisfied),What Does It Take (To Keep A Man Like You Satisfied)
A Woman In Love,A Woman In Love
"Cincinnati, Ohio","Cincinnati, Ohio"
Does My Ring Hurt Your Finger?,Does My Ring Hurt Your Finger?
How Long Will It Take,How Long Will It Take
Once,Once
" Promises, Promises","Promises, Promises"
Danny Boy,Danny Boy
If I Kiss You (Will You Go Away),If I Kiss You (Will You Go Away)
What Kind Of A Girl (Do You Think I Am?),What Kind Of A Girl (Do You Think I Am?)
Get While The Gettin's Good,Get While The Gettin's Good
Stamp Out Loneliness,Stamp Out Loneliness
Mama Spank,Mama Spank
I Can't Get There From Here,I Can't Get There From Here
Burning A Hole In My Mind,Burning A Hole In My Mind
Long Legged Guitar Pickin' Man,Long Legged Guitar Pickin' Man
If You're Not Gone Too Long,If You're Not Gone Too Long
Fool Fool Fool,Fool Fool Fool
I'm Still Not Over You,I'm Still Not Over You
Break My Mind,Break My Mind
I Know One,I Know One
Little Old Wine Drinker Me,Little Old Wine Drinker Me
Urge For Going,Urge For Going
Happy Tracks,Happy Tracks
If My Heart Had Windows,If My Heart Had Windows
The Chokin' Kind,The Chokin' Kind
Drifting Apart,Drifting Apart
"Funny, Familiar, Forgotten, Feelings","Funny, Familiar, Forgotten, Feelings"
I Never Had The One I Wanted,I Never Had The One I Wanted
Paper Mansions,Paper Mansions
Don't Squeeze My Sharmon,Don't Squeeze My Sharmon
Gardenias In Her Hair,Gardenias In Her Hair
